"服务大类","具体服务","转发域名","DNS 服务器","记录类型","来源状态","说明"
"AI 服务","Anthropic / Claude","anthropic.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"AI 服务","Anthropic / Claude","clau.de","","FORWARD_DOMAIN","本次补漏","补齐 OpenAI/Claude 的内容、MCP、语音或新产品域名"
"AI 服务","Anthropic / Claude","claude.ai","","FORWARD_DOMAIN","现有保留","原清单保留"
"AI 服务","Anthropic / Claude","claude.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"AI 服务","Anthropic / Claude","claudemcpclient.com","","FORWARD_DOMAIN","本次补漏","补齐 OpenAI/Claude 的内容、MCP、语音或新产品域名"
"AI 服务","Anthropic / Claude","claudemcpcontent.com","","FORWARD_DOMAIN","本次补漏","补齐 OpenAI/Claude 的内容、MCP、语音或新产品域名"
"AI 服务","Anthropic / Claude","claudeusercontent.com","","FORWARD_DOMAIN","本次补漏","补齐 OpenAI/Claude 的内容、MCP、语音或新产品域名"
"AI 服务","OpenAI / ChatGPT / Sora","chat.com","","FORWARD_DOMAIN","本次补漏","补齐 OpenAI/Claude 的内容、MCP、语音或新产品域名"
"AI 服务","OpenAI / ChatGPT / Sora","chatgpt.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"AI 服务","OpenAI / ChatGPT / Sora","chatgpt.livekit.cloud","","FORWARD_DOMAIN","本次补漏","补齐 OpenAI/Claude 的内容、MCP、语音或新产品域名"
"AI 服务","OpenAI / ChatGPT / Sora","chatgpt.site","","FORWARD_DOMAIN","本次补漏","补齐 OpenAI/Claude 的内容、MCP、语音或新产品域名"
"AI 服务","OpenAI / ChatGPT / Sora","host.livekit.cloud","","FORWARD_DOMAIN","本次补漏","补齐 OpenAI/Claude 的内容、MCP、语音或新产品域名"
"AI 服务","OpenAI / ChatGPT / Sora","oaistatic.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"AI 服务","OpenAI / ChatGPT / Sora","oaistatsig.com","","FORWARD_DOMAIN","本次补漏","补齐 OpenAI/Claude 的内容、MCP、语音或新产品域名"
"AI 服务","OpenAI / ChatGPT / Sora","oaiusercontent.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"AI 服务","OpenAI / ChatGPT / Sora","openai.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"AI 服务","OpenAI / ChatGPT / Sora","sora.com","","FORWARD_DOMAIN","本次补漏","补齐 OpenAI/Claude 的内容、MCP、语音或新产品域名"
"AI 服务","OpenAI / ChatGPT / Sora","turn.livekit.cloud","","FORWARD_DOMAIN","本次补漏","补齐 OpenAI/Claude 的内容、MCP、语音或新产品域名"
"Google 生态","Android / Google Play","android.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Android / Google Play","googleplay.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Android / Google Play","gvt1.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Android / Google Play","gvt2.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Android / Google Play","gvt3.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Chromium","chromium.org","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Firebase / Crashlytics","app-measurement.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Firebase / Crashlytics","crashlytics.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Firebase / Crashlytics","firebase.com","","FORWARD_DOMAIN","本次补漏","补齐 Google、Firebase、YouTube 的根域、区域域或 CDN"
"Google 生态","Firebase / Crashlytics","firebase.io","","FORWARD_DOMAIN","本次补漏","补齐 Google、Firebase、YouTube 的根域、区域域或 CDN"
